,open,high,low,close,volume,value
2021-12-15 09:00:00,49810.0,65000.0,10350.0,12410.0,32488905.8447417,466530899671.6359
2021-12-16 09:00:00,12420.0,13340.0,11510.0,11590.0,10266687.35997296,127249489615.81068
2021-12-17 09:00:00,11590.0,11730.0,10450.0,10610.0,5232049.38186345,58010338203.62962
2021-12-18 09:00:00,10610.0,10650.0,10160.0,10520.0,2229216.58489855,23165359732.94762
2021-12-19 09:00:00,10520.0,12060.0,10390.0,11240.0,7394495.4715254,84017864966.031
2021-12-20 09:00:00,11250.0,11300.0,10340.0,10500.0,2183190.52861765,23549015795.561176
2021-12-21 09:00:00,10500.0,11500.0,10490.0,11340.0,2963896.06361972,32222566527.380863
2021-12-22 09:00:00,11350.0,14480.0,11130.0,13330.0,18721431.42195714,249970109468.69467
2021-12-23 09:00:00,13320.0,17580.0,13170.0,16640.0,50242950.8576954,811132909508.005
2021-12-24 09:00:00,16650.0,19400.0,16440.0,18380.0,56525031.45578378,1018842775183.3903
2021-12-25 09:00:00,18390.0,19200.0,17330.0,18450.0,29225930.24004027,532722406936.29034
2021-12-26 09:00:00,18440.0,19690.0,17680.0,19600.0,18240469.87318975,337811009899.46466
2021-12-27 09:00:00,19590.0,19890.0,17700.0,17950.0,14965014.47072118,279346051280.2162
2021-12-28 09:00:00,17960.0,18060.0,15880.0,16350.0,17224505.58233183,295940760067.1404
2021-12-29 09:00:00,16340.0,18500.0,15910.0,18330.0,20004120.87292107,343642297687.5605
2021-12-30 09:00:00,18340.0,19000.0,17250.0,18780.0,20099592.29057213,366947381520.2275
2021-12-31 09:00:00,18790.0,19120.0,17500.0,17990.0,10501009.55872183,195535835576.53348
2022-01-01 09:00:00,17990.0,18590.0,17690.0,18440.0,4972891.61090159,89700679162.64946
2022-01-02 09:00:00,18440.0,18600.0,17410.0,17520.0,7174323.73081368,128254217935.18542
2022-01-03 09:00:00,17520.0,20260.0,16960.0,20220.0,11419306.12333607,210302175201.46912
2022-01-04 09:00:00,20230.0,21570.0,19420.0,19580.0,22005856.97181968,453773695698.82336
2022-01-05 09:00:00,19570.0,21190.0,17370.0,18970.0,14518531.0527339,286583105147.17365
2022-01-06 09:00:00,18970.0,20030.0,18100.0,19690.0,15275925.65202038,292967329422.1861
2022-01-07 09:00:00,19690.0,19830.0,17810.0,18650.0,12045269.14662398,227093930430.33783
2022-01-08 09:00:00,18640.0,19170.0,16800.0,17370.0,8117889.02419422,146031605593.20938
2022-01-09 09:00:00,17330.0,17590.0,16310.0,16710.0,8321745.0310467,140559018229.08084
2022-01-10 09:00:00,16710.0,19030.0,16350.0,18960.0,22184299.85892419,392965284208.2535
2022-01-11 09:00:00,18950.0,22650.0,18660.0,22100.0,20711495.03549649,419268420212.6873
2022-01-12 09:00:00,22100.0,23000.0,21230.0,21370.0,13171515.08699334,290974679021.8529
2022-01-13 09:00:00,21370.0,24720.0,20880.0,24140.0,17842088.75870848,412425283910.7387
2022-01-14 09:00:00,24120.0,25380.0,22640.0,24490.0,15496017.71595278,370177291801.5948
2022-01-15 09:00:00,24490.0,24660.0,23210.0,23410.0,5643080.05666802,133948407474.65462
2022-01-16 09:00:00,23420.0,24800.0,22850.0,24370.0,9742195.68146458,232441033373.43808
2022-01-17 09:00:00,24360.0,24450.0,21820.0,22600.0,6741400.72558293,156257609631.72803
2022-01-18 09:00:00,22600.0,22700.0,21150.0,21820.0,5552517.14489881,121481768622.64107
2022-01-19 09:00:00,21820.0,22200.0,19830.0,20050.0,6459156.36134974,134556654645.94855
2022-01-20 09:00:00,20020.0,21450.0,18900.0,19130.0,7149876.56508394,145391949961.2789
2022-01-21 09:00:00,19120.0,19800.0,16860.0,17540.0,9137767.99852982,169580867485.767
2022-01-22 09:00:00,17540.0,17660.0,14200.0,14900.0,10918561.74898745,169165233585.16263
2022-01-23 09:00:00,14900.0,16420.0,14420.0,15400.0,9640974.60790163,149089164485.2194
2022-01-24 09:00:00,15400.0,15400.0,12840.0,14280.0,8818827.9721041,121031623586.45258
2022-01-25 09:00:00,14290.0,15250.0,12850.0,14940.0,8417318.22554605,117356159998.35252
2022-01-26 09:00:00,14930.0,15850.0,13700.0,14710.0,9500810.62091534,143079220882.72827
2022-01-27 09:00:00,14710.0,15030.0,13710.0,14360.0,4202842.59945656,60360730624.83594
2022-01-28 09:00:00,14330.0,14580.0,13870.0,14460.0,2570216.58687724,36320625995.52142
2022-01-29 09:00:00,14470.0,15030.0,14230.0,14740.0,3570098.26764466,52211943126.264305
2022-01-30 09:00:00,14750.0,14920.0,14030.0,14360.0,2134088.03493294,31059254519.26783
2022-01-31 09:00:00,14350.0,14420.0,13310.0,14210.0,1856227.57834883,25686036123.378082
2022-02-01 09:00:00,14210.0,15030.0,14000.0,14680.0,3902234.85461134,57142171354.76635
2022-02-02 09:00:00,14700.0,14900.0,13800.0,13800.0,3491138.65995403,50395651700.00198
2022-02-03 09:00:00,13810.0,13910.0,13000.0,13470.0,3582455.18883081,47722565082.540405
2022-02-04 09:00:00,13460.0,16050.0,13300.0,15850.0,8124016.33688951,118910004446.50224
2022-02-05 09:00:00,15840.0,16580.0,15430.0,15760.0,9866294.3264033,158130504693.621
2022-02-06 09:00:00,15740.0,17180.0,15630.0,16470.0,11301228.52626169,185564142525.54092
2022-02-07 09:00:00,16470.0,17180.0,16010.0,16520.0,8048006.63429464,133167390890.52267
2022-02-08 09:00:00,16520.0,16840.0,14960.0,15580.0,7279219.30176288,115306089230.4518
2022-02-09 09:00:00,15580.0,15850.0,14770.0,15700.0,3874570.61092972,59521681589.38342
2022-02-10 09:00:00,15700.0,15710.0,14360.0,14450.0,5401840.40861518,80871176392.09737
2022-02-11 09:00:00,14450.0,15050.0,12960.0,13310.0,5999869.02865297,85167053331.0468
2022-02-12 09:00:00,13310.0,13690.0,12610.0,13190.0,3814325.61283687,50245958079.67133
2022-02-13 09:00:00,13190.0,13340.0,12650.0,12770.0,2526860.36268859,32956020037.71537
2022-02-14 09:00:00,12750.0,12970.0,12280.0,12820.0,2911381.70135975,36682551076.89319
2022-02-15 09:00:00,12820.0,13980.0,12730.0,13910.0,3161042.50468865,42314687327.17427
2022-02-16 09:00:00,13910.0,13920.0,13160.0,13640.0,2379966.43618634,32328830920.19062
2022-02-17 09:00:00,13640.0,14200.0,12690.0,12750.0,5384782.20767531,72967245163.4675
2022-02-18 09:00:00,12750.0,13370.0,12420.0,12590.0,2936966.79057606,37844466654.5429
2022-02-19 09:00:00,12620.0,12760.0,12010.0,12280.0,1660595.1927798,20554830628.377262
2022-02-20 09:00:00,12310.0,12370.0,11150.0,11420.0,2667888.46252095,31155488223.25532
2022-02-21 09:00:00,11420.0,11920.0,10380.0,10460.0,3610744.01885503,40656584767.52898
2022-02-22 09:00:00,10470.0,10960.0,10100.0,10910.0,2349899.14275436,24682944191.73025
2022-02-23 09:00:00,10910.0,11460.0,10450.0,10470.0,2716866.20083845,29903936123.839645
2022-02-24 09:00:00,10470.0,10690.0,9230.0,10410.0,5806512.98889263,56944806071.306335
2022-02-25 09:00:00,10410.0,11030.0,10070.0,10900.0,2855520.25370178,30083016368.347836
2022-02-26 09:00:00,10900.0,11460.0,10830.0,11150.0,2187653.08992454,24485116060.261497
2022-02-27 09:00:00,11160.0,11210.0,10270.0,10470.0,2421622.00191323,26084508388.097458
2022-02-28 09:00:00,10470.0,11820.0,10240.0,11780.0,2768483.45437757,30089757819.295692
2022-03-01 09:00:00,11780.0,14490.0,11510.0,14340.0,20564636.48346485,271779682979.5803
2022-03-02 09:00:00,14340.0,14490.0,13240.0,13500.0,12548202.04343868,173137551080.5007
2022-03-03 09:00:00,13490.0,14220.0,13070.0,13440.0,8691174.95414097,119005685910.35165
2022-03-04 09:00:00,13460.0,14500.0,12800.0,12900.0,12905532.95355188,177090497808.83713
